ad,marka,fiyat,indirimli_fiyat,indirim_orani,url,kategori,zaman,site,tarih,analiz_fiyati,cinsiyet
Erkek siyah bağcıklı deri sneaker,Derimod,7499.99,3499.99,53.3,https://derimod.com.tr/products/erkek-kahverengi-bagcikli-deri-sneaker-24wfd724414,Erkek Spor Ayakkabı,2026-04-28 01:26:27,Derimod,2026-04-28,3499.99,Erkek
Erkek siyah bağcıklı kalın tabanlı kumaş sneaker,Derimod,7499.99,3499.99,53.3,https://derimod.com.tr/products/erkek-gri-bagcikli-kalin-tabanli-kumas-sneaker-25sfd69416f,Erkek Spor Ayakkabı,2026-05-06 00:16:20,Derimod,2026-05-06,3499.99,Erkek
Erkek siyah deri sneaker,Derimod,5499.99,2599.99,52.7,https://derimod.com.tr/products/erkek-siyah-deri-sneaker-25sfd7560ft,Erkek Spor Ayakkabı,2026-04-28 01:26:27,Derimod,2026-04-28,2599.99,Erkek
Erkek beyaz kalın tabanlı bağcıklı deri sneaker,Derimod,7999.99,3799.99,52.5,https://derimod.com.tr/products/erkek-siyah-kalin-tabanli-bagcikli-deri-sneaker-25sfd691418,Erkek Spor Ayakkabı,2026-04-28 01:26:27,Derimod,2026-04-28,3799.99,Erkek
Acbc x derimod kadın bej bağcıklı sneaker,Derimod,4999.99,2399.99,52.0,https://derimod.com.tr/products/acbc-x-derimod-kadin-siyah-bagcikli-sneaker-24wfd435414,Kadın Spor Ayakkabı,2026-04-28 01:25:37,Derimod,2026-04-28,2399.99,Kadın
Acbc x derimod kadın siyah bağcıklı sneaker,Derimod,4999.99,2399.99,52.0,https://derimod.com.tr/products/acbc-x-derimod-kadin-bej-bagcikli-sneaker-24wfd435414,Kadın Spor Ayakkabı,2026-04-28 01:25:37,Derimod,2026-04-28,2399.99,Kadın
Geox kadın siyah jaysen bağcıklı deri sneaker,Derimod,6249.99,2999.99,52.0,https://derimod.com.tr/products/geox-kadin-siyah-jaysen-bagcikli-deri-sneaker-d621ba08507c9999,Kadın Spor Ayakkabı,2026-04-28 01:25:37,Derimod,2026-04-28,2999.99,Kadın
Kadın gümüş bağcıklı metalik sneaker,Derimod,3499.99,1699.99,51.4,https://derimod.com.tr/products/kadin-gumus-bagcikli-metalik-sneaker-25sfd430632,Kadın Spor Ayakkabı,2026-05-06 00:15:31,Derimod,2026-05-06,1699.99,Kadın
Erkek bej bağcıklı nubuk deri sneaker,Derimod,4499.99,2199.99,51.1,https://derimod.com.tr/products/erkek-lacivert-bagcikli-nubuk-deri-sneaker-25sfd7600v3,Erkek Spor Ayakkabı,2026-05-06 00:16:20,Derimod,2026-05-06,2199.99,Erkek
Acbc x deri̇mod kadın bej bağcıklı kalın tabanlı kumaş sneaker,Derimod,5499.99,2699.99,50.9,https://derimod.com.tr/products/acbc-x-derimod-kadin-beyaz-bagcikli-kalin-tabanli-kumas-sneaker-25sfd43556f,Kadın Spor Ayakkabı,2026-04-28 01:25:37,Derimod,2026-04-28,2699.99,Kadın
Acbc x deri̇mod kadın beyaz bağcıklı kalın tabanlı kumaş sneaker,Derimod,5499.99,2699.99,50.9,https://derimod.com.tr/products/acbc-x-derimod-kadin-bej-bagcikli-kalin-tabanli-kumas-sneaker-25sfd43556f,Kadın Spor Ayakkabı,2026-05-06 00:15:31,Derimod,2026-05-06,2699.99,Kadın
Erkek siyah bağcıklı deri sneaker,Derimod,5499.99,2699.99,50.9,https://derimod.com.tr/products/erkek-siyah-bagcikli-deri-sneaker-25sfd756214,Erkek Spor Ayakkabı,2026-05-06 00:16:20,Derimod,2026-05-06,2699.99,Erkek
Erkek kahverengi bağcıklı deri sneaker,Derimod,5499.99,2699.99,50.9,https://derimod.com.tr/products/erkek-siyah-bagcikli-deri-sneaker-25sfd740418,Erkek Spor Ayakkabı,2026-05-06 00:16:20,Derimod,2026-05-06,2699.99,Erkek
Derimod zero erkek siyah kalın tabanlı kumaş sneaker,Derimod,5499.99,2699.99,50.9,https://derimod.com.tr/products/derimod-zero-erkek-bej-kalin-tabanli-kumas-sneaker-25sfd69206f,Erkek Spor Ayakkabı,2026-05-06 00:16:20,Derimod,2026-05-06,2699.99,Erkek
Derimod zero kadın gri kumaş kalın tabanlı sneaker,Derimod,3999.99,1999.99,50.0,https://derimod.com.tr/products/derimod-zero-kadin-bej-kumas-kalin-tabanli-sneaker-25sfe49516f,Kadın Spor Ayakkabı,2026-04-28 01:25:37,Derimod,2026-04-28,1999.99,Kadın
