ad,marka,fiyat,indirimli_fiyat,indirim_orani,url,kategori,site,zaman
Kadın beyaz bağcıklı kalın tabanlı sneaker,Derimod,3499.99,,0.0,https://derimod.com.tr/products/kadin-siyah-bagcikli-kalin-tabanli-sneaker-26pfe220114-5637145339,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Kadın kahverengi bağcıklı süet deri sneaker,Derimod,3249.99,,0.0,https://derimod.com.tr/products/kadin-taba-bagcikli-suet-deri-sneaker-26pfd410810-5637145364,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Kadın siyah bağcıklı kalın tabanlı sneaker,Derimod,3499.99,,0.0,https://derimod.com.tr/products/kadin-bej-bagcikli-kalin-tabanli-sneaker-26pfe220114-5637145330,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Derimod zero kadın bej kalın tabanlı kumaş sneaker,Derimod,4499.99,,0.0,https://derimod.com.tr/products/derimod-zero-kadin-gri-kalin-tabanli-kumas-sneaker-26pfe49316f-5637145341,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Kadın kahverengi bağcıklı kalın tabanlı süet deri sneaker,Derimod,4999.99,,0.0,https://derimod.com.tr/products/kadin-kahverengi-bagcikli-kalin-tabanli-suet-deri-sneaker-26pfd510310-5637145360,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Kadın sarı bağcıklı fileli süet deri sneaker,Derimod,4499.99,,0.0,https://derimod.com.tr/products/kadin-bej-bagcikli-fileli-suet-deri-sneaker-26pfd431710-5637145330,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Kadın siyah kalın tabanlı bağcıklı sneaker,Derimod,3749.99,2999.99,20.0,https://derimod.com.tr/products/kadin-bej-kalin-tabanli-bagcikli-sneaker-26pfe145414-5637145330,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Skechers kadın siyah arch fit refine sneaker,Derimod,3999.0,,0.0,https://derimod.com.tr/products/skechers-kadin-siyah-arch-fit-refine-sneaker-104270-bbk,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Skechers kadın beyaz billion 2 - fine shine bağcıklı spor sneaker,Derimod,4999.0,,0.0,https://derimod.com.tr/products/skechers-kadin-beyaz-billion-2-fine-shine-bagcikli-spor-sneaker-177345-wnt,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Skechers kadın beyaz bobs bamina bağcıklı kalın tabanlı kumaş sneaker,Derimod,4899.0,,0.0,https://derimod.com.tr/products/skechers-kadin-beyaz-bobs-bamina-bagcikli-kalin-tabanli-kumas-sneaker-117354-wht,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Skechers kadın beyaz modern d'lux bağcıklı sneaker,Derimod,4999.0,,0.0,https://derimod.com.tr/products/skechers-kadin-beyaz-modern-dlux-bagcikli-sneaker-158584-ofwt,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Skechers kadın beyaz m - uno bağcıklı spor sneaker,Derimod,5399.0,,0.0,https://derimod.com.tr/products/skechers-kadin-beyaz-m-uno-bagcikli-spor-sneaker-177050-ofwt,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Skechers kadın kahverengi squad air bağcıklı sneaker,Derimod,4499.0,,0.0,https://derimod.com.tr/products/skechers-kadin-kahverengi-squad-air-bagcikli-sneaker-117378-nat,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Kadın siyah bağcıklı deri sneaker,Derimod,5499.99,3849.99,30.0,https://derimod.com.tr/products/kadin-siyah-bagcikli-deri-sneaker-25afd290018-5637145339,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Derimod zero kadın siyah kumaş sneaker,Derimod,4249.99,1799.99,57.6,https://derimod.com.tr/products/derimod-zero-kadin-beyaz-kumas-sneaker-25sfe49636f,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Kadın siyah bağcıklı kalın tabanlı sneaker,Derimod,5999.99,2599.99,56.7,https://derimod.com.tr/products/kadin-bej-bagcikli-kalin-tabanli-sneaker-25sfe495714,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Kadın siyah bağcıklı kalın tabanlı sneaker,Derimod,4999.99,3499.99,30.0,https://derimod.com.tr/products/kadin-beyaz-bagcikli-kalin-tabanli-sneaker-25afd430918-5637145326,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Kadın bej bağcıklı kalın tabanlı deri sneaker,Derimod,6749.99,3399.99,49.6,https://derimod.com.tr/products/kadin-siyah-bagcikli-kalin-tabanli-deri-sneaker-25afd142014-5637145339,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
